primary_product_code,classification_name,device_class,regulation_number,medical_specialty,medical_specialty_description,review_panel,definition,implant_flag,life_sustain_support_flag,gmp_exempt_flag,classification_third_party_flag,summary_malfunction_reporting,ai_device_authorizations,linked_recall_records,first_ai_authorization_date,latest_ai_authorization_date,source_snapshot_date
OTE,Digital Breast Tomosynthesis,3,,,Unknown,RA,To generate digital 3D mammographic images that can be used for the screening and diagnosis of breast cancer.,N,N,N,N,Eligible,2,0,2024-09-23,2025-11-21,2026-07-31
OUO,Tomographic Imager Combining Emission Computed Tomography With Nuclear Magnetic Resonance,2,892.1200,RA,Radiology,RA,Imager that generates both both magnetic resonance (mr)  and positron emission tomography (pet) images and provides registration and fusion of these images.  Pet and mr images can be acquired either simultaneously or sequentially.  Anatomical mr images are used for pet attenuation correction.,N,N,N,N,Eligible,2,0,2024-05-24,2026-01-15,2026-07-31
PBH,"Embryo Image Assessment System, Assisted Reproduction",2,884.6195,OB,Obstetrics/Gynecology,OB,The device will obtain and analyze light microscopy images of developing embryos.  This device provides information to aid in the selection of embryo(s) for transfer when there are multiple embryos deemed suitable for transfer or freezing .,N,N,N,N,Eligible,2,0,2019-07-19,2025-08-15,2026-07-31
PCS,Liver Iron Concentration Imaging Companion Diagnostic For Deferasirox,2,892.1001,RA,Radiology,RA,"Intended for diagnostic use to present images that reflect the magnetic resonance spectra for the determination of iron in the liver for any indication where an assessment of liver iron concentration is needed.  For non-transfusion-dependent thalassemia (NTDT) patients, is intended as an aid in the assessment of NTDT patients for whom deferasirox therapy is being considered and for monitoring of NTDT patients receiving deferasirox therapy.",N,N,N,N,Eligible,2,0,2018-11-30,2021-12-29,2026-07-31
PEX,"System, Mass Spectrometry, Maldi Tof, Microorganism Identification, Cultured Isolates",2,866.3361,MI,Microbiology,MI,A mass spectrometer system using matrix-assisted laser desorption/ ionization - time of flight (MALDI-TOF) for the identification of microorganisms cultured from human specimens.,N,N,N,N,Ineligible,2,0,2013-08-21,2013-11-21,2026-07-31
PLB,Multivariate Vital Signs Index,2,870.2300,CV,Cardiovascular,CV,Automated calculation of a summary index (or indices) based on several individual measured vital sign inputs.,N,N,N,N,Eligible,2,0,2015-06-11,2019-08-15,2026-07-31
PNN,Orthodontic Software,2,872.5470,DE,Dental,DE,The device is software that is to be used for the diagnosis and treatment planning of orthodontic patients and conditions. It may include orthodontic output devices used for the treatment of orthodontics. The device is intended for prescription use only.,N,N,N,Y,Eligible,2,0,2018-01-11,2024-05-16,2026-07-31
PPU,Microbial Colony Image Assessment System,2,866.2190,MI,Microbiology,MI,"A microbial colony image assessment system is an instrument that is intended to assess the presence or absence of microbial colonies on solid microbiological culture medium, and to interpret their number, phenotypic and morphologic characteristics. This device type provides a semi-quantitative assessment of colony counts that are used as an aid in the diagnosis of urinary tract infection. All urine culture plates that are identified as positive for growth by the APAS Compact, when using its urine analysis module, must be reviewed by a trained microbiologist.",N,N,N,Y,Eligible,2,0,2019-05-15,2026-01-22,2026-07-31
PZP,Fluid Jet Removal System,2,876.4350,SU,"General, Plastic Surgery",GU,The system is used for removal of prostate tissue with a fluid jet.,N,N,N,N,Eligible,2,0,2024-08-20,2025-10-10,2026-07-31
QAQ,Adjunctive Predictive Cardiovascular Indicator,2,870.2210,CV,Cardiovascular,CV,The adjunctive predictive cardiovascular indicator is a prescription device that uses software algorithms to analyze cardiovascular vital signs and predict future cardiovascular status or events. This device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.,N,N,N,N,Ineligible,2,0,2018-03-16,2019-05-21,2026-07-31
QCC,Insulin Pump Therapy Adjustment Calculator For Healthcare Professionals,2,862.1358,CH,Clinical Chemistry,CH,"An insulin pump therapy adjustment calculator for healthcare professionals is intended to recommend insulin pump therapy parameter adjustments (e.g., basal rate, insulin to carbohydrate ratios, insulin sensitivity factors) based on data from external devices, including continuous glucose monitors.",N,N,N,N,Ineligible,2,0,2018-06-12,2019-07-18,2026-07-31
QDA,Electrocardiograph Software For Over-The-Counter Use,2,870.2345,CV,Cardiovascular,CV,"An electrocardiograph software device for over-the-counter use creates, analyzes, and displays electrocardiograph data, and can provide information for identifying cardiac arrhythmias. This device is not intended to provide a diagnosis.",N,N,N,N,Ineligible,2,0,2023-05-02,2025-06-15,2026-07-31
QEK,Angiographic Coronary Vascular Physiologic Simulation Software,2,870.1415,CV,Cardiovascular,CV,An angiographic coronary vascular physiologic simulation software device is intended to aid in the identification of functionally significant cardiovascular disease.,N,N,N,N,Ineligible,2,0,2018-12-19,2019-12-09,2026-07-31
QER,"Camera, Ophthalmic, Slit-Scanning",2,886.1120,OP,Ophthalmic,OP,An ophthalmic slit-scanning camera is an AC-powered device intended to take photographs of the eye and the surrounding area.,N,N,N,Y,Ineligible,2,0,2019-06-25,2025-04-17,2026-07-31
QHA,X-Ray Angiographic Imaging Based Coronary Vascular Simulation Software Device,2,892.1600,RA,Radiology,RA,"X-ray angiographic imaging based coronary vascular simulation software device is a prescription device that provides an image analysis tool to assess blood flow in the coronary vascular system using X-ray angiographic imaging data.  X-ray angiographic imaging based coronary vascular simulation software device solves algorithms and yields simulation-based metrics for certain cardiology applications. X-ray angiographic imaging based coronary vascular simulation software device cannot be used alone for clinical decision making and clinical management, and is a tool intended to generate results for use and review by a qualified clinician.",N,N,N,N,Ineligible,2,0,2025-04-04,2025-10-17,2026-07-31
