submission_number,authorization_pathway,final_decision_date,decision_year,decision_quarter,device_name,company_name,fda_panel,primary_product_code,authorization_detail_matched,detail_device_name,detail_applicant,date_received,review_days,decision_code,decision_description,clearance_type,third_party_flag,expedited_review_flag,denovo_request_type,predetermined_change_control_plan_authorized,statement_or_summary_available,classification_name,device_class,regulation_number,medical_specialty,medical_specialty_description,review_panel,implant_flag,life_sustain_support_flag,gmp_exempt_flag,classification_third_party_flag,summary_malfunction_reporting,linked_recall_records,linked_recall_events,open_recall_records,closed_recall_records,first_recall_initiated_date,latest_recall_initiated_date,days_to_first_recall,has_linked_recall,recall_linkage_method,source_snapshot_date,fda_ai_list_url
K242123,510(k),2025-01-06,2025,Q1,Brainomix 360 e-CTA,Brainomix Limited,Radiology,LLZ,1,Brainomix 360 e-CTA,Brainomix Limited,2024-07-19,171,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Image Processing, Radiological",2,892.2050,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242488,510(k),2025-01-06,2025,Q1,Soteria E-View,"Omega Medical Imaging, LLC",Radiology,JAA,1,Soteria E-View,"Omega Medical Imaging, LLC",2024-08-21,138,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Fluoroscopic, Image-Intensified",2,892.1650,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K243481,510(k),2025-01-06,2025,Q1,TMINI Miniature Robotic System,"THINK Surgical, Inc.",Neurology,OLO,1,TMINI Miniature Robotic System,"THINK Surgical, Inc.",2024-11-08,59,SESE,Substantially Equivalent,Traditional,N,,,,1,Orthopedic Stereotaxic Instrument,2,882.4560,NE,Neurology,OR,N,N,N,N,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241350,510(k),2025-01-03,2025,Q1,Clarify DL,"GE Medical Systems Israel, Functional Imaging",Radiology,LLZ,1,Clarify DL,"Ge Medical Systems Israel, Functional Imaging",2024-05-13,235,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Image Processing, Radiological",2,892.2050,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K243363,510(k),2025-01-03,2025,Q1,JLK-ICH,"JLK, Inc.",Radiology,QAS,1,JLK-ICH,"JLK, Inc.",2024-10-29,66,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Computer-Assisted Triage And Notification Software,2,892.2080,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241696,510(k),2025-01-02,2025,Q1,Ortho AI,Ortho AI LLC,Radiology,QIH,1,Ortho AI,"Ortho Ai, LLC",2024-06-12,204,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242334,510(k),2025-01-02,2025,Q1,Ezra Flash,"Ezra AI, Inc.",Radiology,QIH,1,Ezra Flash,"Ezra Ai, Inc.",2024-08-07,148,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242480,510(k),2024-12-27,2024,Q4,FLASH EVD System (10-0002),7D Surgical ULC,Neurology,HAW,1,FLASH EVD System (10-0002),7D Surgical ULC,2024-08-21,128,SESE,Substantially Equivalent,Traditional,N,,,,1,Neurological Stereotaxic Instrument,2,882.4560,NE,Neurology,NE,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242403,510(k),2024-12-23,2024,Q4,Aquilion ONE (TSX-308A/3) V1.5,Canon Medical Systems Corporation,Radiology,JAK,1,Aquilion ONE (TSX-308A/3) V1.5,Canon Medical Systems Corporation,2024-08-13,132,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242168,510(k),2024-12-20,2024,Q4,Voluson Expert 18; Voluson Expert 20; Voluson Expert 22,GE Medical Systems Ultrasound and Primary care Diagnostics,Radiology,IYN,1,Voluson Expert 18; Voluson Expert 20; Voluson Expert 22,GE Medical Systems Ultrasound and Primary Care Diagnostics,2024-07-24,149,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Imaging, Pulsed Doppler, Ultrasonic",2,892.1550,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242362,510(k),2024-12-20,2024,Q4,Lightning Viewer,Nexsys Electronics Inc. dba Medweb,Radiology,LLZ,1,Lightning Viewer,Nexsys Electronics Inc. Dba Medweb,2024-08-09,133,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Image Processing, Radiological",2,892.2050,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242270,510(k),2024-12-19,2024,Q4,OrthoNext Platform System,Orthofix Srl,Radiology,QIH,1,OrthoNext Platform System,Orthofix Srl,2024-08-01,140,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242467,510(k),2024-12-19,2024,Q4,IQ-UIP,"Imbio, Inc.",Radiology,QWO,1,IQ-UIP,"Imbio, Inc.",2024-08-20,121,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiology Software For Referral Of Findings Related To Fibrotic Lung Disease.,2,892.2085,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K243688,510(k),2024-12-19,2024,Q4,Saige-Dx (3.1.0),"DeepHealth, Inc.",Radiology,QDQ,1,Saige-Dx (3.1.0),"DeepHealth, Inc.",2024-11-29,20,SESE,Substantially Equivalent,Special,N,,,,1,Radiological Computer Assisted Detection/Diagnosis Software For Lesions Suspicious For Cancer,2,892.2090,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K243705,510(k),2024-12-19,2024,Q4,Saige-Density (2.5.0),"DeepHealth, Inc",Radiology,QIH,1,Saige-Density (2.5.0),"DeepHealth, Inc.",2024-11-29,20,SESE,Substantially Equivalent,Special,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K240793,510(k),2024-12-16,2024,Q4,MSKai,MSKai,Radiology,QIH,1,MSKai,Mskai,2024-03-22,269,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242020,510(k),2024-12-12,2024,Q4,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN,1,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,"Philips Ultrasound, LLC",2024-07-11,154,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Imaging, Pulsed Doppler, Ultrasonic",2,892.1550,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K243538,510(k),2024-12-12,2024,Q4,uMI Panvivo (uMI Panvivo); uMI Panvivo (uMI Panvivo S),"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,KPS,1,uMI Panvivo (uMI Panvivo); uMI Panvivo (uMI Panvivo S),"Shanghai United Imaging Healthcare Co., Ltd.",2024-11-15,27,SESE,Substantially Equivalent,Special,N,,,,1,"System, Tomography, Computed, Emission",2,892.1200,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K243548,510(k),2024-12-11,2024,Q4,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QFM,1,BriefCase-Triage,"Aidoc Medical , Ltd.",2024-11-15,26,SESE,Substantially Equivalent,Special,N,,,,1,Radiological Computer-Assisted Prioritization Software For Lesions,2,892.2080,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242461,510(k),2024-12-10,2024,Q4,IRISeg,Intuitive Surgical Inc.,Radiology,QIH,1,IRISeg,"Intuitive Surgical, Inc.",2024-08-19,113,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242511,510(k),2024-12-10,2024,Q4,"V5 Diagnostic Ultrasound System, H5 Diagnostic Ultrasound System, XV5 Diagnostic Ultrasound System, XH5 Diagnostic Ultrasound System, V4 Diagnostic Ultrasound System, H4 Diagnostic Ultrasound System, XV4 Diagnostic Ultrasound System, XH4 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN,1,"V5 Diagnostic Ultrasound System, H5 Diagnostic Ultrasound System, XV5 Diagnostic Ultrasound System, XH5 Diagnostic Ultrasound System, V4 Diagnostic Ultrasound System, H4 Diagnostic Ultrasound System, XV4 Diagnostic Ultrasound System, XH4 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",2024-08-23,109,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Imaging, Pulsed Doppler, Ultrasonic",2,892.1550,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242729,510(k),2024-12-09,2024,Q4,AutoContour (Model RADAC V4),"Radformation, Inc.",Radiology,QKB,1,AutoContour (Model RADAC V4),"Radformation, Inc.",2024-09-10,90,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Image Processing Software For Radiation Therapy,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K240680,510(k),2024-12-06,2024,Q4,CDM Insights,Oxford Brain Diagnostics Ltd,Radiology,QIH,1,CDM Insights,"Oxford Brain Diagnostics, Ltd.",2024-03-11,270,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K240926,510(k),2024-12-06,2024,Q4,PeekMed web,"Peek Health, S.A.",Radiology,LLZ,1,PeekMed web,"Peek Health, S.A.",2024-04-04,246,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Image Processing, Radiological",2,892.2050,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241543,510(k),2024-12-06,2024,Q4,DrAid™ for Liver Segmentation,VinBrain Joint Stock Company,Radiology,QIH,1,DrAid™ for Liver Segmentation,Vinbrain Joint Stock Company,2024-05-31,189,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241923,510(k),2024-12-06,2024,Q4,EFAI Neurosuite CT Midline Shift Assessment System (MLS-CT-100),"Ever Fortune.AI, Co., Ltd.",Radiology,QAS,1,EFAI Neurosuite CT Midline Shift Assessment System (MLS-CT-100),"Ever Fortune.Ai, Co., Ltd.",2024-07-01,158,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Computer-Assisted Triage And Notification Software,2,892.2080,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241197,510(k),2024-12-04,2024,Q4,DeepRhythmAI,Medicalgorithmics S.A.,Cardiovascular,DQK,1,DeepRhythmAI,Medicalgorithmics S.A.,2024-04-30,218,SESE,Substantially Equivalent,Traditional,N,,,,1,"Computer, Diagnostic, Programmable",2,870.1425,CV,Cardiovascular,CV,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242188,510(k),2024-12-03,2024,Q4,ClearRead CT CAC,"Riverain Technologies, Inc.",Radiology,JAK,1,ClearRead CT CAC,"Riverain Technologies, Inc.",2024-07-25,131,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K240645,510(k),2024-11-27,2024,Q4,Sonix Health,"Ontact Health Co., Ltd",Radiology,QIH,1,Sonix Health,"Ontact Health Co., Ltd.",2024-03-07,265,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242444,510(k),2024-11-27,2024,Q4,HERA W10 Diagnostic Ultrasound System; HERA W9 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN,1,HERA W10 Diagnostic Ultrasound System; HERA W9 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",2024-08-16,103,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Imaging, Pulsed Doppler, Ultrasonic",2,892.1550,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241390,510(k),2024-11-26,2024,Q4,NeuroMatch,LVIS Corporation,Neurology,OMB,1,NeuroMatch,LVIS Corporation,2024-05-15,195,SESE,Substantially Equivalent,Traditional,N,,,,1,Automatic Event Detection Software For Full-Montage Electroencephalograph,2,882.1400,NE,Neurology,NE,N,N,N,N,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241831,510(k),2024-11-25,2024,Q4,Transpara (2.1.0),ScreenPoint Medical B.V.,Radiology,QDQ,1,Transpara (2.1.0),Screenpoint Medical B.V.,2024-06-25,153,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Computer Assisted Detection/Diagnosis Software For Lesions Suspicious For Cancer,2,892.2090,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242094,510(k),2024-11-22,2024,Q4,Dreem 3S,"Beacon Biosignals, Inc.",Neurology,OLZ,1,Dreem 3S,"Beacon Biosignals, Inc.",2024-07-17,128,SESE,Substantially Equivalent,Traditional,N,,,,1,Automatic Event Detection Software For Polysomnograph With Electroencephalograph,2,882.1400,NE,Neurology,NE,N,N,N,N,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242203,510(k),2024-11-22,2024,Q4,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH,1,BriefCase-Quantification,"Aidoc Medical , Ltd.",2024-07-26,119,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242359,510(k),2024-11-20,2024,Q4,Strain AI (SAI001),Exo Inc,Radiology,QIH,1,Strain AI (SAI001),"Exo, Inc.",2024-08-09,103,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242523,510(k),2024-11-19,2024,Q4,ACUSON Sequoia Diagnostic Ultrasound System; ACUSON Sequoia Select Diagnostic Ultrasound System; ACUSON Origin Diagnostic Ultrasound System; ACUSON Origin ICE Diagnostic Ultrasound System,"Siemens Medical Solutions USA, Inc.",Radiology,IYN,1,ACUSON Sequoia Diagnostic Ultrasound System; ACUSON Sequoia Select Diagnostic Ultrasound System; ACUSON Origin Diagnostic Ultrasound System; ACUSON Origin ICE Diagnostic Ultrasound System,"Siemens Medical Solutions USA, Inc.",2024-08-23,88,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Imaging, Pulsed Doppler, Ultrasonic",2,892.1550,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241633,510(k),2024-11-18,2024,Q4,Informed Vital Core Application (IVC App),"Mindset Medical, Inc.",Cardiovascular,QME,1,Informed Vital Core Application (IVC App),"Mindset Medical, Inc.",2024-06-06,165,SESE,Substantially Equivalent,Traditional,N,,,,1,"Software For Optical Camera-Based Measurement Of Pulse Rate, Heart Rate, Breathing Rate, And/Or Respiratory Rate",2,870.2785,CV,Cardiovascular,CV,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241747,510(k),2024-11-18,2024,Q4,Saige-Dx,"DeepHealth, Inc",Radiology,QDQ,1,Saige-Dx,"DeepHealth, Inc.",2024-06-18,153,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Computer Assisted Detection/Diagnosis Software For Lesions Suspicious For Cancer,2,892.2090,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K240860,510(k),2024-11-15,2024,Q4,EchoGo Amyloidosis (1.0),Ultromics Limited,Cardiovascular,SDJ,1,EchoGo Amyloidosis (1.0),Ultromics Limited,2024-03-28,232,SESE,Substantially Equivalent,Traditional,N,,,,1,Adjunctive Cardiac Amyloidosis Status Indicator,2,870.2200,CV,Cardiovascular,CV,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241439,510(k),2024-11-15,2024,Q4,VUNO Med-Chest X-ray Triage/VUNO Med-CXR Link Triage,Vuno Inc.,Radiology,QFM,1,VUNO Med-Chest X-ray Triage/VUNO Med-CXR Link Triage,"Vuno, Inc.",2024-05-21,178,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Computer-Assisted Prioritization Software For Lesions,2,892.2080,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242062,510(k),2024-11-15,2024,Q4,1CMR Pro,Mycardium AI Limited,Radiology,LLZ,1,1CMR Pro,Mycardium AI Limited,2024-07-15,123,SESE,Substantially Equivalent,Abbreviated,N,,,,1,"System, Image Processing, Radiological",2,892.2050,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242130,510(k),2024-11-15,2024,Q4,Koios DS,"Koios Medical, Inc.",Radiology,POK,1,Koios DS,"Koios Medical, Inc.",2024-07-22,116,SESE,Substantially Equivalent,Traditional,N,,,,1,Computer-Assisted Diagnostic Software For Lesions Suspicious For Cancer,2,892.2060,RA,Radiology,RA,N,N,N,N,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242800,510(k),2024-11-15,2024,Q4,The 5000 Compact Series Ultrasound Systems,Philips Ultrasound LLC,Radiology,IYN,1,The 5000 Compact Series Ultrasound Systems,"Philips Ultrasound, LLC",2024-09-17,59,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Imaging, Pulsed Doppler, Ultrasonic",2,892.1550,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242342,510(k),2024-11-14,2024,Q4,Fetal EchoScan,BrightHeart,Radiology,POK,1,Fetal EchoScan,Brightheart,2024-08-07,99,SESE,Substantially Equivalent,Traditional,N,,,,1,Computer-Assisted Diagnostic Software For Lesions Suspicious For Cancer,2,892.2060,RA,Radiology,RA,N,N,N,N,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K240417,510(k),2024-11-08,2024,Q4,ProFound Detection (V4.0),"iCAD, Inc.",Radiology,QDQ,1,ProFound Detection (V4.0),"Icad, Inc.",2024-02-13,269,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Computer Assisted Detection/Diagnosis Software For Lesions Suspicious For Cancer,2,892.2090,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K240712,510(k),2024-11-07,2024,Q4,icobrain aria,icometrix NV,Radiology,QBS,1,icobrain aria,Icometrix NV,2024-03-15,237,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Computer Assisted Detection/Diagnosis Software For Fracture,2,892.2090,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241719,510(k),2024-11-07,2024,Q4,NeuroICH,Neurocareai Inc.,Radiology,QAS,1,NeuroICH,"Neurocareai, Inc.",2024-06-14,146,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Computer-Assisted Triage And Notification Software,2,892.2080,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241312,510(k),2024-11-05,2024,Q4,TeraRecon Cardiac.Chambers.MR (1.0.0),"TeraRecon,Inc.",Radiology,QIH,1,TeraRecon Cardiac.Chambers.MR (1.0.0),"Terarecon,Inc.",2024-05-09,180,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241108,510(k),2024-10-30,2024,Q4,RemedyLogic AI MRI Lumbar Spine Reader,Remedy Logic Inc.,Radiology,QIH,1,RemedyLogic AI MRI Lumbar Spine Reader,"Remedy Logic, Inc.",2024-04-22,191,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242215,510(k),2024-10-25,2024,Q4,Neurophet AQUA (V3.1),"Neurophet, Inc.",Radiology,QIH,1,Neurophet AQUA (V3.1),"Neurophet., Inc.",2024-07-29,88,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K243189,510(k),2024-10-25,2024,Q4,TumorSight Viz,"SimBioSys, Inc.",Radiology,QIH,1,TumorSight Viz,"SimBioSys, Inc.",2024-09-30,25,SESE,Substantially Equivalent,Special,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K243209,510(k),2024-10-22,2024,Q4,nordicMEDiVA,NordicNeurolab AS,Radiology,LLZ,1,nordicMEDiVA,Nordicneurolab AS,2024-10-01,21,SESE,Substantially Equivalent,Traditional,Y,,,,1,"System, Image Processing, Radiological",2,892.2050,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
