submission_number,authorization_pathway,final_decision_date,decision_year,decision_quarter,device_name,company_name,fda_panel,primary_product_code,authorization_detail_matched,detail_device_name,detail_applicant,date_received,review_days,decision_code,decision_description,clearance_type,third_party_flag,expedited_review_flag,denovo_request_type,predetermined_change_control_plan_authorized,statement_or_summary_available,classification_name,device_class,regulation_number,medical_specialty,medical_specialty_description,review_panel,implant_flag,life_sustain_support_flag,gmp_exempt_flag,classification_third_party_flag,summary_malfunction_reporting,linked_recall_records,linked_recall_events,open_recall_records,closed_recall_records,first_recall_initiated_date,latest_recall_initiated_date,days_to_first_recall,has_linked_recall,recall_linkage_method,source_snapshot_date,fda_ai_list_url
K242171,510(k),2025-01-17,2025,Q1,TechCare Trauma,Milvue,Radiology,QBS,1,TechCare Trauma,Milvue,2024-07-24,177,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Computer Assisted Detection/Diagnosis Software For Fracture,2,892.2090,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242825,510(k),2025-01-17,2025,Q1,Prenuvo Body Composition,Prenuvo,Radiology,LNH,1,Prenuvo Body Composition,Prenuvo,2024-09-18,121,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Nuclear Magnetic Resonance Imaging",2,892.1000,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K242522,510(k),2025-01-16,2025,Q1,Second Opinion CC,Pearl Inc.,Radiology,MYN,1,Second Opinion CC,"Pearl, Inc.",2024-08-23,146,SESE,Substantially Equivalent,Traditional,N,,,,1,"Analyzer, Medical Image",2,892.2070,RA,Radiology,RA,N,N,N,N,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K243065,510(k),2025-01-15,2025,Q1,Cardiac Guidance,"Caption Health, Inc.",Radiology,QJU,1,Cardiac Guidance,"Caption Health, Inc.",2024-09-27,110,SESE,Substantially Equivalent,Traditional,N,,,,1,Image Acquisition And/Or Optimization Guided By Artificial Intelligence,2,892.2100,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241166,510(k),2025-01-14,2025,Q1,uCT 550,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,JAK,1,uCT 550,"Shanghai United Imaging Healthcare Co., Ltd.",2024-04-26,263,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241200,510(k),2025-01-13,2025,Q1,SpotLight/SpotLight Duo with Low Dose Lung Cancer Screening Option,Arineta Ltd.,Radiology,JAK,1,SpotLight/SpotLight Duo with Low Dose Lung Cancer Screening Option,"Arineta , Ltd.",2024-04-30,258,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K243950,510(k),2025-01-13,2025,Q1,ARVIS® Shoulder,Kico Knee Innovation Company Pty Ltd,Neurology,SBF,1,ARVIS® Shoulder,"Kico Knee Innovation Company Pty, Ltd.",2024-12-23,21,SESE,Substantially Equivalent,Special,N,,,,1,Orthopedic Augmented Reality,2,882.4560,NE,Neurology,OR,N,N,N,N,Ineligible,1,1,1,0,2025-09-19,2025-09-19,249.0,1,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241009,510(k),2025-01-10,2025,Q1,PeriCALM Patterns 3.0,"PeriGen, Inc.",Obstetrics and Gynecology,HGM,1,PeriCALM Patterns 3.0,"Perigen, Inc.",2024-04-12,273,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Monitoring, Perinatal",2,884.2740,OB,Obstetrics/Gynecology,OB,N,N,N,Y,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241676,510(k),2025-01-10,2025,Q1,TriVerity,"Inflammatix, Inc.",Microbiology,PRE,1,TriVerity,"Inflammatix, Inc.",2024-06-11,213,SESE,Substantially Equivalent,Traditional,N,,,,1,Rt-Qpcr Assay For Mrna Transcript Immune Biomarkers,2,866.3215,MI,Microbiology,MI,N,N,N,N,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241891,510(k),2025-01-10,2025,Q1,ScreenDx,"Imvaria, Inc",Radiology,QWO,1,ScreenDx,"Imvaria, Inc.",2024-06-28,196,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiology Software For Referral Of Findings Related To Fibrotic Lung Disease.,2,892.2085,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K241079,510(k),2025-01-07,2025,Q1,uCT 780,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,JAK,1,uCT 780,"Shanghai United Imaging Healthcare Co., Ltd.",2024-04-19,263,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,1,1,1,0,2025-09-12,2025-09-12,248.0,1,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K243335,510(k),2025-01-07,2025,Q1,"Vantage Galan 3T, MRT-3020, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH,1,"Vantage Galan 3T, MRT-3020, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,2024-10-24,75,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Nuclear Magnetic Resonance Imaging",2,892.1000,RA,Radiology,RA,N,N,N,Y,Eligible,1,1,1,0,2025-10-16,2025-10-16,282.0,1,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
